98, 1, 4, 8
188, 1, 7, 8
440, 1, 15, 20
598, 1, 20, 28
968, 2, 3, 8
978, 2, 3, 18
998, 2, 4, 8
1348, 2, 15, 28
1498, 2, 20, 28
1938, 3, 5, 18
1998, 3, 7, 18
2335, 3, 18, 25
2858, 4, 6, 8
2888, 4, 7, 8
2920, 4, 8, 10
2934, 4, 8, 24
2936, 4, 8, 26
3170, 4, 16, 20
3298, 4, 20, 28
3416, 4, 24, 26
3888, 5, 10, 18
4719, 6, 8, 9
4734, 6, 8, 24
5129, 6, 21, 29
5633, 7, 8, 23
5720, 7, 11, 20
5998, 7, 20, 28
6563, 8, 9, 23
6620, 8, 11, 20
6898, 8, 20, 28
7016, 8, 24, 26
7520, 9, 11, 20
7648, 9, 15, 28
7798, 9, 20, 28
7916, 9, 24, 26
8698, 10, 20, 28
9405, 11, 14, 15
9410, 11, 14, 20
9440, 11, 15, 20
9448, 11, 15, 28
9500, 11, 17, 20
9530, 11, 18, 20
9540, 11, 18, 30
9595, 11, 20, 25
9598, 11, 20, 28
10498, 12, 20, 28
11205, 13, 14, 15
12137, 14, 15, 17
12140, 14, 15, 20
12298, 14, 20, 28
13100, 15, 17, 20
13198, 15, 20, 28
13378, 15, 26, 28
14216, 16, 24, 26
14998, 17, 20, 28
17848, 20, 25, 28
17878, 20, 26, 28
17939, 20, 28, 29
18659, 21, 22, 29
20516, 23, 24, 26
